CNTSCHID,CNTSTUID,ST001D01T,ST003D02T,ST003D03T,ST004D01T,ST250D06JA,ST250D07JA,PV1MATH,PV1READ,PV1SCIE
76400007,76401699,10,4,2007,1,7640001,7640002,449.001,439.207,428.74
76400007,76401795,10,4,2007,1,7640001,7640001,386.252,392.703,408.431
76400007,76401808,10,7,2006,2,7640001,7640002,549.669,473.359,598.139
76400007,76401887,10,10,2006,2,7640001,7640002,340.451,332.545,388.184
76400007,76402579,10,9,2006,1,7640001,7640002,425.001,462.055,496.987
76400007,76402816,10,12,2006,2,7640001,7640001,404.563,371.255,457.856
76400007,76403034,10,1,2007,2,7640001,7640002,405.53,351.725,468.939
76400007,76403510,10,9,2006,2,7640001,7640002,417.063,451.835,584.662
76400007,76403903,9,5,2007,2,7640002,7640002,456.906,400.562,509.577
76400007,76404722,10,11,2006,2,7640001,7640002,526.047,568.938,550.501
76400007,76404946,10,9,2006,1,7640001,7640002,567.809,478.36,553.924
76400007,76405011,10,10,2006,1,7640001,7640002,456.476,404.816,469.101
76400007,76405113,9,1,2007,1,7640002,7640002,514.791,535.725,503.08
76400007,76405477,10,5,2007,1,7640002,7640002,411.776,390.514,477.139
76400007,76405579,9,5,2007,2,7640001,7640002,556.308,526.446,542.354
76400007,76405634,10,5,2007,2,7640001,7640001,449.134,419.842,481.182
76400007,76405662,10,10,2006,1,7640002,7640002,377.527,386.991,384.52
76400007,76405803,10,7,2006,2,7640001,7640001,442.501,496.828,439.787
76400007,76405986,9,5,2007,2,7640002,7640002,513.368,435.088,529.308
76400007,76406066,10,4,2007,2,7640002,7640001,502.474,469.995,504.515
76400007,76406298,10,8,2006,2,7640001,7640002,438.199,442.151,416.545
76400007,76406370,10,2,2007,2,7640002,7640002,520.574,475.102,522.733
76400007,76406476,9,5,2007,1,7640001,7640001,411.462,451.248,482.922
76400007,76406859,10,11,2006,2,7640001,7640002,540.866,492.78,505.737
76400007,76407116,10,6,2006,1,7640001,7640001,521.073,564.036,505.831
76400007,76407193,10,11,2006,1,7640001,7640002,507.569,429.643,499.854
